"
			WEBSALE		",http://www.dug-software.de/,"
			DE		","
			76337		","
			Waldbronn		",http://www.hemden-meister.de/,"
			Bekleidung & Accessories		","
			Komplette Neukonzeption des Onlineshops mit Warenwirtschaft.		"
"
			OXID eSales		",http://www.onecommerce.de/,"
			DE		","
			81675		","
			München		",http://www.baer-schuhe.de/,"
			Schuhe		","
			Keine Angabe seitens der Agentur		"
"
			Magento		",http://www.onecommerce.de/,"
			DE		","
			81675		","
			München		",https://www.ecomparo.de/webdesign-internet-agenturen-fuer-onlineshop-finden/#keinkunde,"
			keine Angabe		","
			Keine Angabe seitens der Agentur		"
"
			OXID eSales		",http://www.onecommerce.de/,"
			DE		","
			81675		","
			München		",http://www.medi-sport.de,"
			Sportartikel  & Freizeit		","
			Keine Angabe seitens der Agentur		"
"
			OXID eSales		",http://www.onecommerce.de/,"
			DE		","
			81675		","
			München		",http://www.sioux-shop.de,"
			Schuhe		","
			Keine Angabe seitens der Agentur		"
"
			OXID eSales		",http://www.onecommerce.de/,"
			DE		","
			81675		","
			München		",http://www.newone-shop.com/,"
			Uhren & Schmuck		","
			Keine Angabe seitens der Agentur		"
"
			OXID eSales		",http://www.onecommerce.de/,"
			DE		","
			81675		","
			München		",http://www.picard-lederwaren.de/,"
			Handtaschen, Rucksäcke & Koffer		","
			Keine Angabe seitens der Agentur		"
"
			Hybris by SAP		",http://www.onecommerce.de/,"
			DE		","
			81675		","
			München		",http://www.medi-sport.de,"
			Sportartikel  & Freizeit		","
			Keine Angabe seitens der Agentur		"
"
			Magento		",http://www.onecommerce.de/,"
			DE		","
			81675		","
			München		",http://www.rockberries.com/,"
			Bekleidung & Accessories		","
			Keine Angabe seitens der Agentur		"
"
			Shopware		",http://agentur-sowhat.de/,"
			DE		","
			10117		","
			Berlin		",http://www.stabilo.com/shop/de/,"
			Bürobedarf, Schreibwaren		","
			Keine Angabe seitens der Agentur		"
"
			Salesforce Commerce Cloud (Demandware)		",http://agentur-sowhat.de/,"
			DE		","
			10117		","
			Berlin		",http://www.butlers.de/,"
			Möbel & Wohnen		","
			Keine Angabe seitens der Agentur		"
"
			Shopware		",http://www.netshops.de/,"
			DE		","
			20537		","
			Hamburg		",http://shop.vitra.com/,"
